FUNERAL SERVICE ALLOCATION OPTIMIZATION RESULTS
============================================================

SUMMARY:
Total Objective Value: 16752000.00
Robust Objective Value: 32437546.01
Total Operational Cost: 7800000.00
Total Penalty Cost: 8952000.00
Total Unserved Cases: 2238
Average Allocation: 1000.00

WEEKLY DETAILS:
Week	Allocation	Real Deaths	Op Cost	Penalty	Total	Loss	Unserved
--------------------------------------------------------------------------------
   1	   1000.0	      884.0	 150000	      0	 150000	      0	     0.0
   2	   1000.0	      945.0	 150000	      0	 150000	      0	     0.0
   3	   1000.0	     1122.0	 150000	 488000	 638000	 488000	   122.0
   4	   1000.0	      841.0	 150000	      0	 150000	      0	     0.0
   5	   1000.0	     1173.0	 150000	 692000	 842000	 692000	   173.0
   6	   1000.0	      924.0	 150000	      0	 150000	      0	     0.0
   7	   1000.0	      966.0	 150000	      0	 150000	      0	     0.0
   8	   1000.0	     1040.0	 150000	 160000	 310000	 160000	    40.0
   9	   1000.0	     1079.0	 150000	 316000	 466000	 316000	    79.0
  10	   1000.0	      987.0	 150000	      0	 150000	      0	     0.0
  11	   1000.0	     1101.0	 150000	 404000	 554000	 404000	   101.0
  12	   1000.0	      818.0	 150000	      0	 150000	      0	     0.0
  13	   1000.0	      867.0	 150000	      0	 150000	      0	     0.0
  14	   1000.0	     1017.0	 150000	  68000	 218000	  68000	    17.0
  15	   1000.0	      901.0	 150000	      0	 150000	      0	     0.0
  16	   1000.0	      841.0	 150000	      0	 150000	      0	     0.0
  17	   1000.0	     1087.0	 150000	 348000	 498000	 348000	    87.0
  18	   1000.0	      966.0	 150000	      0	 150000	      0	     0.0
  19	   1000.0	      908.0	 150000	      0	 150000	      0	     0.0
  20	   1000.0	      835.0	 150000	      0	 150000	      0	     0.0
  21	   1000.0	     1031.0	 150000	 124000	 274000	 124000	    31.0
  22	   1000.0	     1028.0	 150000	 112000	 262000	 112000	    28.0
  23	   1000.0	     1152.0	 150000	 608000	 758000	 608000	   152.0
  24	   1000.0	      963.0	 150000	      0	 150000	      0	     0.0
  25	   1000.0	     1186.0	 150000	 744000	 894000	 744000	   186.0
  26	   1000.0	      872.0	 150000	      0	 150000	      0	     0.0
  27	   1000.0	      935.0	 150000	      0	 150000	      0	     0.0
  28	   1000.0	     1152.0	 150000	 608000	 758000	 608000	   152.0
  29	   1000.0	     1178.0	 150000	 712000	 862000	 712000	   178.0
  30	   1000.0	      869.0	 150000	      0	 150000	      0	     0.0
  31	   1000.0	      995.0	 150000	      0	 150000	      0	     0.0
  32	   1000.0	     1068.0	 150000	 272000	 422000	 272000	    68.0
  33	   1000.0	      848.0	 150000	      0	 150000	      0	     0.0
  34	   1000.0	     1115.0	 150000	 460000	 610000	 460000	   115.0
  35	   1000.0	      929.0	 150000	      0	 150000	      0	     0.0
  36	   1000.0	      804.0	 150000	      0	 150000	      0	     0.0
  37	   1000.0	      826.0	 150000	      0	 150000	      0	     0.0
  38	   1000.0	      959.0	 150000	      0	 150000	      0	     0.0
  39	   1000.0	      948.0	 150000	      0	 150000	      0	     0.0
  40	   1000.0	     1063.0	 150000	 252000	 402000	 252000	    63.0
  41	   1000.0	     1029.0	 150000	 116000	 266000	 116000	    29.0
  42	   1000.0	      999.0	 150000	      0	 150000	      0	     0.0
  43	   1000.0	      849.0	 150000	      0	 150000	      0	     0.0
  44	   1000.0	      866.0	 150000	      0	 150000	      0	     0.0
  45	   1000.0	     1099.0	 150000	 396000	 546000	 396000	    99.0
  46	   1000.0	     1180.0	 150000	 720000	 870000	 720000	   180.0
  47	   1000.0	      857.0	 150000	      0	 150000	      0	     0.0
  48	   1000.0	     1058.0	 150000	 232000	 382000	 232000	    58.0
  49	   1000.0	     1141.0	 150000	 564000	 714000	 564000	   141.0
  50	   1000.0	     1125.0	 150000	 500000	 650000	 500000	   125.0
  51	   1000.0	      929.0	 150000	      0	 150000	      0	     0.0
  52	   1000.0	     1014.0	 150000	  56000	 206000	  56000	    14.0
